1000,LFVP,EGNX,C500,--WTFSS,22:44,07:10
1001,LFVP,ESPE,B733,---TF--,19:42,01:43
1002,LYPG,EHVK,PAY2,---T-S-,20:52,00:16
1003,LYPG,LTBA,PAY2,--W----,19:02,20:56
1004,LYPG,LTCG,B738,-TWT-S-,23:30,01:36
1005,LYUZ,LSZL,PAY2,--W----,21:55,23:59
1006,LYUZ,EGYD,C500,-TW--S-,17:53,21:45
1007,LYUZ,LIBP,B738,-TW----,19:48,20:23
1008,LYUZ,LIRK,PA34,--WT---,18:53,21:14
1009,LYUZ,EFVR,PAY2,M-WT-S-,23:28,04:24
1010,LYUZ,EFPO,PA34,M-W----,20:47,04:55
1011,BKPR,ENSS,A320,----FSS,20:12,00:14
1012,BKPR,LEGR,PA34,-T--F--,21:00,06:07
1013,BKPR,LTAY,PA34,M------,18:58,22:44
1014,LYTV,EGPN,C500,-TW----,20:17,01:02
1015,LYTV,EGNV,PA34,M-WT---,23:30,07:47
1016,LYTV,EGPN,B733,--WTF--,19:16,22:01
1017,LYTV,LZZI,C500,-----S-,17:32,19:10
1018,LYTV,LDZD,C500,-T-----,18:38,19:21
1019,LYTV,LKPD,A320,MTW-F-S,21:02,22:09
1020,LYVR,ETNL,PAY2,M--T-S-,20:34,23:19
1021,LYVR,LEJR,C500,------S,21:42,03:02
1022,LYVR,EGSS,B738,---T---,18:39,20:45
1023,LQMO,ENBO,PAY2,----F--,23:35,05:52
1024,LQMO,LJPZ,A320,-----S-,21:30,22:02
1025,LQMO,LICG,PA34,----FSS,20:07,23:45
1026,LQMO,LTCM,PA34,MTW-F--,18:37,00:30
1027,LQMO,ENLK,C500,M--T-S-,17:30,23:30
1028,LRAR,EINN,PA34,---TF--,21:41,07:10
1029,LRAR,LFOT,PAY2,-T-T---,20:21,00:02
1030,LRAR,LFOP,A320,-TW----,17:17,19:15
1031,LRAR,LFQQ,B733,---T-SS,18:21,20:08
1032,LRAR,EGPF,A320,---T---,19:11,21:51
1033,LRAR,ENHD,B738,MTWT-S-,20:52,23:05
1034,LRBC,LKPR,C500,M--T-S-,22:17,00:28
1035,LRBC,EETU,PA34,-T-T---,21:20,02:46
1036,LRBM,LIQN,B733,--W----,19:19,20:35
1037,LRBM,LEPP,PAY2,MT---SS,21:06,01:52
1038,LRBM,LFRZ,C500,-T-T---,23:48,03:57
1039,LRBS,ENSL,B738,-----S-,21:46,00:32
1040,LRBS,LFMK,C500,---T---,17:18,21:25
1041,LRBS,LEBA,A320,--W-F-S,22:55,02:21
1042,LRBS,LFSO,C500,---T--S,23:40,03:08
1043,LRBS,LFAT,C500,-TWT---,18:49,23:01
1044,EGYP,LFLY,PA34,--WT---,21:56,01:24
1045,EGYP,ENML,PAY2,MTWTF-S,19:35,04:18
1046,EGYP,LQSA,PAY2,--W--S-,23:52,06:09
1047,EGYP,EDFM,C500,----F--,21:20,01:09
1048,EGYP,ESNG,A320,---T--S,18:25,13:22
1049,EBAW,LPBJ,B738,M--T-S-,22:50,00:59
1050,EBAW,EKAH,B733,MTW----,21:48,22:40
1051,EBAW,LICA,PA34,M------,17:05,23:55
1052,EBAW,EGJA,PAY2,MT---SS,18:59,20:09
1053,EBAW,ESNU,B733,M--TF--,20:25,22:31
1054,EBAW,LFMP,B733,--W---S,18:08,19:19
1055,EBBE,EKKA,A320,----F--,20:39,21:31
1056,EBBE,LRSB,B738,--W----,23:59,01:51
1057,EBBL,LFLC,A320,-T-TFS-,20:11,20:58
1058,EBBL,LDZD,B733,-T-TFSS,20:41,22:02
1059,EBBL,LTCA,PAY2,MTW--SS,18:44,01:43
1060,EBBL,EBBE,B738,M------,21:43,21:47
1061,EBBL,LTFC,PA34,--W----,23:40,09:50
1062,EBBR,LIRT,B733,M------,20:04,21:47
1063,EBBR,LFRG,A320,M-WTFS-,23:50,00:17
1064,EBCI,LLET,PA34,M--T---,19:46,10:04
1065,EBCI,LIVP,C500,-----S-,18:07,19:35
1066,EBCI,LIBV,B738,-----S-,17:36,19:22
1067,EBCI,LROD,C500,--WT-SS,22:40,01:33
1068,EBCV,ESNU,C500,-T--F--,18:57,22:45
1069,EBCV,LJMB,B738,-T---S-,22:58,00:10
1070,EBDT,LIPE,PA34,-----S-,21:50,01:23
1071,EBDT,ENBL,B733,MT----S,19:10,20:37
1072,EBFN,LGIO,PA34,-TW-FSS,17:44,01:36
1073,EBFN,LEGR,B733,-T-TF-S,21:35,23:37
1074,EBFN,EIME,B733,-T-----,19:54,20:44
1075,EBFN,EDBC,PAY2,---T---,23:16,00:42
1076,EBFS,LFBE,C500,M-W--S-,19:14,20:41
1077,EBFS,EPZG,C500,--W--SS,20:48,22:32
1078,EBFS,LFTH,PA34,---T---,17:10,20:30
1079,EBFS,LEGA,PA34,---TF-S,21:40,04:18
1080,EBFS,LFOB,C500,M-WTFS-,22:50,23:16
1081,EBFS,EPWA,A320,MT---S-,23:24,00:53
1082,EBLG,ENHE,A320,M----S-,21:35,23:41
1083,EBLG,LGRX,C500,----F-S,23:37,03:40
1084,EBLG,EHDL,B738,----FS-,22:29,22:40
1085,EBLG,ESUT,A320,---T---,18:14,20:31
1086,EBLG,ETSA,B733,M-W-F-S,20:00,20:36
1087,EBOS,LEST,PA34,--WT-SS,17:26,22:39
1088,EBOS,LIPE,B738,---T---,23:41,00:52
1089,EDAC,ETHN,C500,M--T--S,18:26,18:58
1090,EDAC,ENQC,C500,-T--F--,17:16,19:55
1091,EDAC,LTCG,B733,M-WT--S,19:10,22:08
1092,EDAH,LGPZ,B733,MT--FS-,17:51,20:01
1093,EDAH,EGPM,PAY2,----F-S,22:16,01:02
1094,EDAH,EFKS,B738,M---FSS,18:52,20:48
1095,EDAH,LHDC,PA34,-----S-,23:01,02:41
1096,EDBC,LIRS,B738,------S,21:03,22:17
1097,EDBC,EGOS,PAY2,MT-----,19:07,21:22
1098,EDBC,EGMD,C500,--W---S,19:42,21:17
1099,EDDB,LZSL,A320,-TW-F-S,21:59,22:43
1100,EDDB,LICG,A320,-----S-,23:03,01:16
1101,EDDC,LESA,B738,-----S-,22:07,00:24
1102,EDDC,ENBO,PA34,-T-T---,20:29,03:56
1103,EDDC,EBBL,B733,MT--FS-,23:58,00:41
1104,EDDC,LGAV,PA34,MTWT--S,18:29,01:25
1105,EDDE,LFOT,A320,----F--,20:01,21:06
1106,EDDE,ENSD,B733,-TW-F-S,23:27,01:00
1107,EDDE,LICR,C500,--WT--S,18:34,21:45
1108,EDDE,EGSH,C500,MTW---S,22:29,23:58
1109,EDDE,LFML,B733,MTW-F--,21:52,23:03
1110,EDDE,ESTA,A320,-TW--S-,20:50,21:36
1111,EDDF,LPHR,A320,--W--S-,22:46,02:52
1112,EDDF,EGXE,PA34,M------,17:19,20:47
1113,EDDF,EKTE,PA34,MT-TF--,19:19,22:08
1114,EDDF,LEBG,PA34,---T-S-,21:54,03:09
1115,EDDG,LTFJ,PAY2,---T---,18:39,23:29
1116,EDDG,LIPR,C500,--W----,20:59,23:05
1117,EDDG,ENDR,C500,---T---,17:30,20:26
1118,EDDH,EGPA,PA34,M------,18:40,22:47
1119,EDDH,LFRN,PAY2,M-W-FS-,17:32,19:56
1120,EDDH,LTFG,B733,---T--S,21:33,00:47
1121,EDDH,EGXU,C500,-T-----,20:53,22:28
1122,EDDK,LGAD,B733,M---FSS,19:14,21:31
1123,EDDK,EBFN,PA34,--W----,20:31,21:49
1124,EDDK,EKRK,B733,MTW-F--,21:59,22:45
1125,EDDK,LKCV,B733,M---F--,19:48,20:32
1126,EDDK,LFBD,B733,-----S-,23:18,00:25
1127,EDDL,LFSN,B733,---T---,20:43,21:04
1128,EDDL,LXGB,PA34,----F--,22:53,06:55
1129,EDDL,LKLN,PA34,M------,21:27,23:30
1130,EDDL,ENVD,A320,---TF--,23:28,02:33
1131,EDDM,ENRO,PA34,-----S-,23:40,06:14
1132,EDDM,LKCV,PA34,MT----S,18:59,20:17
1133,EDDM,LWSK,B733,---TF-S,22:03,23:22
1134,EDDM,LFRI,PA34,--W--SS,23:03,03:13
1135,EDDN,LDPL,B733,M--T---,23:00,23:41
1136,EDDN,LSZH,B733,--WT--S,22:23,22:45
1137,EDDN,ENML,B738,------S,18:08,19:57
1138,EDDN,ESOW,A320,MT-----,20:14,21:44
1139,EDDP,EGXP,B738,----F--,21:03,22:08
1140,EDDP,ESMQ,B733,-TWT---,17:30,18:18
1141,EDDP,LPMA,B738,---T---,18:19,22:10
1142,EDDR,LHBC,PA34,MT-----,21:27,01:57
1143,EDDR,EKOD,B733,----F--,20:53,21:48
1144,EDDR,ESOW,A320,----F--,19:56,21:36
1145,EDDR,LEPP,A320,MT--FSS,22:01,23:17
1146,EDDS,LDZA,B733,----FS-,21:26,22:12
1147,EDDS,EDAC,PAY2,-T-----,18:26,19:14
1148,EDDS,EGPN,C500,M-W--SS,22:51,01:25
1149,EDDT,LFLW,PA34,--W--SS,20:01,00:51
1150,EDDT,ETHF,B733,---T---,20:53,21:17
1151,EDDT,LFRZ,PAY2,-----S-,21:48,00:44
1152,EDDT,LFBO,B733,-T--F-S,18:47,20:27
1153,EDDT,LGNX,A320,-TW----,22:36,01:07
1154,EDDT,LFVP,B738,MT--F-S,23:50,05:47
1155,EDDV,EDOP,C500,M--T---,18:59,19:21
1156,EDDV,LFBE,B733,-T-TFS-,23:01,00:22
1157,EDDV,LIVD,B738,-T---S-,17:07,17:55
1158,EDDV,EIKN,A320,-TW----,23:36,01:11
1159,EDDV,EHVL,C500,M------,21:36,22:19
1160,EDDV,EGNX,A320,--W-FSS,21:01,21:58
1161,EDDW,EBAW,PA34,-TWT--S,22:21,23:51
1162,EDDW,LSZH,A320,---TF--,23:41,00:28
1163,EDDW,EGHH,PAY2,------S,20:18,22:06
1164,EDDW,LFBP,A320,M--TFS-,19:03,20:41
1165,EDDW,LFSI,PAY2,-T-----,21:26,22:45
1166,EDDW,LFBA,A320,------S,17:39,19:08
1167,EDFE,EGXT,PAY2,--W----,20:31,22:09
1168,EDFE,LFOC,A320,----F--,23:29,00:13
1169,EDFE,LGSM,PA34,----FSS,21:27,05:44
1170,EDFH,ESSL,B733,--WT-SS,21:19,22:40
1171,EDFH,LUKK,PA34,---T---,20:32,03:18
1172,EDFH,EGXZ,B738,M-W----,19:37,20:32
1173,EDFM,ENOA,PAY2,---TF-S,23:36,02:36
1174,EDFM,EPSC,PAY2,----FSS,19:48,21:17
1175,EDFM,EGCC,PAY2,M--TF--,20:25,22:26
1176,EDFM,LGSO,PA34,--W--S-,22:50,06:38
1177,EDFM,LFLL,B733,M--T-SS,22:02,22:38
1178,EDGS,LTFE,C500,--W----,21:27,02:06
1179,EDGS,LFRS,B733,---T---,22:54,23:55
1180,EDGS,LIPQ,A320,--W---S,20:57,21:48
1181,EDGS,LIBF,C500,--W--S-,18:33,21:05
1182,EDGS,LFJL,PAY2,MT-T-S-,23:49,00:21
1183,EDHK,LPOV,B738,---T-S-,21:54,00:24
1184,EDHK,LTAI,A320,MT---S-,23:45,02:58
1185,EDHK,LESO,PAY2,-----S-,17:40,21:11
1186,EDHK,LIRM,B738,----F--,19:19,21:10
1187,EDHK,LIPB,B738,-TW-F--,21:14,22:19
1188,EDHK,LFSL,A320,M-W--S-,18:11,19:44
1189,EDHL,EGPF,PA34,------S,22:47,02:55
1190,EDHL,LIEB,PAY2,---T--S,17:24,21:01
1191,EDHL,EDFE,A320,--W---S,20:05,20:39
1192,EDHL,LEAM,PAY2,M-W---S,19:28,00:29
1193,EDHL,ENSH,A320,--WTF--,18:33,20:38
1194,EDHL,LIRX,PA34,------S,21:14,02:20
1195,EDJA,EGXC,PAY2,M-W---S,23:02,01:12
1196,EDJA,EBCV,B733,--WT--S,17:36,18:17
1197,EDLN,LFMY,B733,------S,18:13,19:17
1198,EDLN,EGNS,PAY2,M-W-F-S,20:10,22:04
1199,EDLN,LGKF,C500,--WT-SS,17:06,21:02
1200,EDLN,LELO,C500,--W----,22:46,01:19
1201,EDLN,ENAL,B733,MT-T---,19:05,20:40
1202,EDLP,LTCP,C500,-T-----,19:25,01:27
1203,EDLP,LFBH,A320,-T---S-,21:45,22:57
1204,EDLP,LGKZ,PA34,-T-T---,18:14,00:57
1205,EDLV,EFOU,C500,MTW----,23:14,03:13
1206,EDLV,EVLA,A320,--W----,22:01,23:27
1207,EDLV,LFRS,PA34,--W----,18:19,21:25
1208,EDLV,EGQS,C500,--W----,21:01,22:59
1209,EDLV,EGQM,B738,---TF-S,22:39,23:28
1210,EDLV,LYVR,PA34,-T-T-S-,19:12,00:43
1211,EDLW,LFQB,B738,--WT---,18:45,19:17
1212,EDLW,LGLM,A320,---T---,22:59,01:23
1213,EDLW,LEIB,A320,------S,23:39,01:33
1214,EDLW,EGQK,A320,M--TF--,17:33,18:49
1215,EDMA,EDVK,C500,-TW--S-,22:57,23:42
1216,EDMA,ENSR,B733,-TW--S-,21:12,00:15
1217,EDMA,ETHE,C500,M-WTFSS,20:39,21:43
1218,EDMA,EPGD,B733,--W----,23:48,00:51
1219,EDMO,EGHQ,PAY2,---T---,21:38,00:28
1220,EDMO,LIMJ,B733,M------,22:38,23:11
1221,EDMO,EGVA,PAY2,-TWT---,17:08,19:31
1222,EDMO,EKKA,B733,----F-S,19:37,20:46
1223,EDMO,EFRO,A320,--WT--S,20:54,23:45
1224,EDMO,LFTW,B738,M---F-S,23:42,00:34
1225,EDNY,LSZR,C500,-TW----,20:11,20:13
1226,EDNY,LFSD,PA34,----FS-,17:37,19:00
1227,EDOP,EKSP,PAY2,-T---S-,22:22,22:58
1228,EDOP,LERT,PAY2,M------,20:37,02:05
1229,EDOP,LFLC,B738,--W---S,18:41,19:58
1230,EDOP,LFMD,B733,M-W----,23:20,00:46
1231,EDOP,LGIR,B733,M--TFS-,19:53,22:43
1232,EDQM,EHGG,C500,MT----S,22:28,23:30
1233,EDQM,EVLA,C500,---T-SS,23:14,01:13
1234,EDQM,LTCP,B733,M----S-,21:36,00:46
1235,EDQM,LRTC,B733,--W----,21:05,22:49
1236,EDQM,LFLP,B733,------S,17:44,18:32
1237,EDRZ,EDFE,A320,--W--SS,23:33,23:42
1238,EDRZ,LFMI,PA34,M-WT--S,21:40,00:24
1239,EDSB,LELO,PA34,--WT-SS,21:25,01:52
1240,EDSB,ENOV,B738,----F--,23:04,00:54
1241,EDSB,LTCG,A320,M-W-F--,22:27,01:49
